Mix ID, Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Cylinder compressive strength (MPa),Splitting tensile strength (MPa),Flexural strength (MPa),Elastic modulus (GPa),Chloride permeability (Coulomb) 28d,Chloride permeability (Coulomb) 90d,Chloride permeability (Coulomb) 180d,Drying shrinkage (με) 7d,Drying shrinkage (με) 28d,Drying shrinkage (με) 90d,Drying shrinkage (με)120d,Creep (με) 28d,Creep (με) 90d,Creep (με) 150d,Abrasion (mm) 28 d,Reference
R27_M64,270,198,849,808,67.5,45,67.5,4.24,46.49,-1,-1,-1,-1,-1,-1,173,396,-1,-1,-1,-1,-1,-1,
R27_M65,180,198,840,799,101.25,67.5,101.25,5.04,37.57,-1,-1,-1,-1,-1,-1,-1,398,-1,-1,-1,-1,-1,-1,
R28_20FA,360,198,855,813,90,0,0,3.2,68,-1,-1,-1,-1,1224,-1,198,403,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.conbuildmat.2008.09.015
R28_40FA,270,198,842,801,180,0,0,2.9,60.3,-1,-1,-1,-1,1083,-1,197,354,-1,-1,-1,-1,-1,-1,
R28_60FA,180,198,829,788,270,0,0,3,42.5,-1,-1,-1,-1,1475,-1,195,348,-1,-1,-1,-1,-1,-1,
R28_20S,360,198,866,824,0,0,90,3.7,72.6,-1,-1,-1,-1,1053,-1,199,421,-1,-1,-1,-1,-1,-1,
R28_40S,270,198,863,821,0,0,180,3.4,74.9,-1,-1,-1,-1,403,-1,205,398,-1,-1,-1,-1,-1,-1,
R28_60S,180,198,861,819,0,0,270,2.8,65.7,-1,-1,-1,-1,282,-1,203,380,-1,-1,-1,-1,-1,-1,
R28_5SF,428,198,865,823,0,22.5,0,4.9,71.2,-1,-1,-1,-1,1118,-1,193,400,-1,-1,-1,-1,-1,-1,
R28_10SF,405,198,861,819,0,45,0,5.2,76.1,-1,-1,-1,-1,796,-1,205,420,-1,-1,-1,-1,-1,-1,
R28_15SF,383,198,858,816,0,67.5,0,7.8,74.8,-1,-1,-1,-1,375,-1,206,444,-1,-1,-1,-1,-1,-1,
R28_15FA5SF,360,198,855,813,67.5,22.5,0,4.2,67.2,-1,-1,-1,-1,1184,-1,173,-1,-1,-1,-1,-1,-1,-1,
R28_30FA10SF,270,198,841,801,135,45,0,4.5,57.6,-1,-1,-1,-1,585,-1,177,-1,-1,-1,-1,-1,-1,-1,
R28_45FA15SF,180,198,828,788,202.5,67.5,0,4.8,44.9,-1,-1,-1,-1,652,-1,190,-1,-1,-1,-1,-1,-1,-1,
R28_15S5SF,360,198,863,821,0,22.5,67.5,4,68,-1,-1,-1,-1,719,-1,200,-1,-1,-1,-1,-1,-1,-1,
R28_30S10SF,270,198,857,816,0,45,135,4.6,68.2,-1,-1,-1,-1,408,-1,199,-1,-1,-1,-1,-1,-1,-1,
